path,schema_version,protocol,status,evidence_class,phase,model,gpu,races,turns,completed_utc,sha256
results/capacity_family/greennode_smoke_ab0527e/results/mistral-7b-instruct-v0.1/smoke/run_manifest.json,ai-race-kaggle-crossmodel-scaffold-admission-run-v1,,completed,diagnostic,,mistral-7b-instruct-v0.1,,,,2026-08-02T04:29:41.900226+00:00,63f24ca505db7ff4e53a348bd258123dda15f9cc806f7150e042676d52897c66
results/capacity_family/greennode_smoke_ab0527e/results/qwen2.5-14b-instruct/smoke/run_manifest.json,ai-race-kaggle-crossmodel-scaffold-admission-run-v1,,completed,diagnostic,,qwen2.5-14b-instruct,,,,2026-08-02T04:17:19.774727+00:00,7fba032b5a5593214f66742752cbf1957a3cce5883b8b8ba79005db6f94f6e4d
results/capacity_family/greennode_smoke_ab0527e/results/qwen2.5-7b-instruct/smoke/run_manifest.json,ai-race-kaggle-crossmodel-scaffold-admission-run-v1,,completed,diagnostic,,qwen2.5-7b-instruct,,,,2026-08-02T04:18:20.098103+00:00,6fa0e303a3a659891bc25e2d8eb0414b67bc34696dc89c3464e6d727f990f9bd
results/cross_model_pilot_synthesis/analysis_manifest.json,,,recorded,unclassified,,,,,,,2169c7353493cbfe39256a44c58eacc7879ea8c859549c116c9d0d280862027a
results/derived/agent_check_frontier_baseline/analysis_manifest.json,,,recorded,unclassified,,,,,,,44f0d37ebc42c405602f77c2cb9f0c39a2bf337dc7556ba8dba57987739e887b
results/derived/agent_check_openai/analysis_manifest.json,,,recorded,unclassified,,,,,,,ff98f241f70b26d7720d8eaa922c1a2d0ae14df937a81e41c09dd42593dd9293
results/derived/agent_check_persona/analysis_manifest.json,,,recorded,unclassified,,,,,,,8aed44b5cc2af520cd8c7f037c144060f41f178dfeabee08c7962e5d2707f33a
results/derived/two_player_paper_analysis/analysis_manifest.json,ai-race-two-player-paper-eda-v1,,complete,diagnostic,,,,,,,8dc7e59ddfa3bc3aba6edf0a2c0e02d4af9b576cfa6885a76f954e152f0d074e
results/frontier/api_5games_allrisk/google-gemini-3-flash-preview/run_manifest.json,ai-race-results-v1,,completed,pilot,pilot,google/gemini-3-flash-preview,,15,222,,b5cbfca9f78c11066cd9612f8cb90e28a5166a542b463100575523815453db9d
results/frontier/baseline/google-gemini-3-flash-preview/run_manifest.json,ai-race-results-v1,,completed,pilot,pilot,google/gemini-3-flash-preview,,30,558,,a73ce3416e2c7b84ab75e976a24d954ca85ebe33810a63d82e4b52ce3a40d5b6
results/frontier/baseline/google-gemini-3.1-flash-lite-preview/run_manifest.json,ai-race-results-v1,,completed,pilot,pilot,google/gemini-3.1-flash-lite-preview,,30,558,,0f7a40cd214245fc904857c7fb5c1fca49d9ad01f943b6227e628931580c17b8
results/frontier/baseline/google-gemini-3.5-flash-lite/run_manifest.json,ai-race-results-v1,,completed,pilot,pilot,google/gemini-3.5-flash-lite,,30,558,,e6bb374ae7e9e3b28f59445c3f97662687fef6942d49c1436726a509401c773a
results/frontier/bedrock_mantle/luna/persona/risk_matrix/R1_R1/openai.gpt-5.6-luna/run_manifest.json,ai-race-proxy-run-v1,,completed,pilot,pilot,openai.gpt-5.6-luna,,30,558,,ed4625b3c731dc8dd86a770394b98ac9b29ade4c76e4cee77873a6a915ca268d
results/frontier/bedrock_mantle/luna/persona/risk_matrix/R1_R2/openai.gpt-5.6-luna/run_manifest.json,ai-race-proxy-run-v1,,completed,pilot,pilot,openai.gpt-5.6-luna,,30,558,,41d068a4025736e409488073126dbc4db112de3dfc513a9a83efb435254e5c0d
results/frontier/bedrock_mantle/luna/persona/risk_matrix/R1_R3/openai.gpt-5.6-luna/run_manifest.json,ai-race-proxy-run-v1,,completed,pilot,pilot,openai.gpt-5.6-luna,,30,558,,56ba1743b32c921cd6aea177b946d6103bd727ed7269a2c94161f9275ea0ef2b
results/frontier/bedrock_mantle/luna/persona/risk_matrix/R1_R4/openai.gpt-5.6-luna/run_manifest.json,ai-race-proxy-run-v1,,completed,pilot,pilot,openai.gpt-5.6-luna,,30,558,,3a86aa86a80a93fb21812752d15a1c62cfe1f6950cf836f29d4412ecb0a4881c
results/frontier/bedrock_mantle/luna/persona/risk_matrix/R1_R5/openai.gpt-5.6-luna/run_manifest.json,ai-race-proxy-run-v1,,completed,pilot,pilot,openai.gpt-5.6-luna,,30,558,,5274f89fd1d55865d4624f95b5bb76604edef44c6fc312a6ab52f8f6c7d0b6cb
