segment_type,segment,term,coef,odds_ratio,ci95_low,ci95_high,p_value,n,error
baseline_provider,provider_google,own_prev_unsafe,-0.8283848525874566,0.43675413926555434,,,,1494.0,
baseline_provider,provider_google,opponent_prev_unsafe,0.5701419167877687,1.7685180160212146,,,,1494.0,
baseline_provider,provider_google,progress_gap_before,-19.007351880531182,5.561756393091379e-09,,,,1494.0,
baseline_provider,provider_google,first_round_unsafe,1.8056696005784365,6.0840439642464235,,,,1494.0,
baseline_provider,provider_openai,own_prev_unsafe,0.9142849166546596,2.4949904877088214,0.32031582422072036,1.5082540090885987,0.0025534546014559455,996.0,
baseline_provider,provider_openai,opponent_prev_unsafe,0.6977060105617121,2.0091384745524956,0.10155235848444633,1.2938596626389778,0.021799926133983075,996.0,
baseline_provider,provider_openai,progress_gap_before,-0.993430565083089,0.370304157003535,-1.5320067861561353,-0.45485434401004277,0.00030005695939938333,996.0,
baseline_provider,provider_openai,first_round_unsafe,0.7180964125431306,2.0505261372608934,0.30494805275118303,1.1312447723350783,0.0006577050692217174,996.0,
baseline_model,google-gemini-3-flash-preview,own_prev_unsafe,904259695880088.8,inf,,,,498.0,
baseline_model,google-gemini-3-flash-preview,opponent_prev_unsafe,3698952677140329.5,inf,,,,498.0,
baseline_model,google-gemini-3-flash-preview,progress_gap_before,20342294317431.12,inf,,,,498.0,
baseline_model,google-gemini-3-flash-preview,first_round_unsafe,1409707669458956.5,inf,,,,498.0,
baseline_model,google-gemini-3.1-flash-lite-preview,own_prev_unsafe,-2.077106172518128,0.12529226228254245,,,,498.0,
baseline_model,google-gemini-3.1-flash-lite-preview,opponent_prev_unsafe,23.568720301395828,17209377942.47137,,,,498.0,
baseline_model,google-gemini-3.1-flash-lite-preview,progress_gap_before,-19.78050521565349,2.5670583213723646e-09,,,,498.0,
baseline_model,google-gemini-3.1-flash-lite-preview,first_round_unsafe,1350.9409776659404,inf,,,,498.0,
baseline_model,google-gemini-3.5-flash-lite,own_prev_unsafe,-0.8411140891906054,0.4312298272204016,,,,498.0,
baseline_model,google-gemini-3.5-flash-lite,opponent_prev_unsafe,0.6912221801877124,1.9961537025053337,,,,498.0,
baseline_model,google-gemini-3.5-flash-lite,progress_gap_before,-18.540012786672786,8.87513059580614e-09,,,,498.0,
baseline_model,google-gemini-3.5-flash-lite,first_round_unsafe,0.86717589611272,2.380179478828844,,,,498.0,
baseline_model,gpt-5-nano,__fit_error__,,,,,,,Singular matrix
baseline_model,gpt-5.4-nano,own_prev_unsafe,0.20676138605336222,1.2296891157977419,-0.4434813634864224,0.8570041355931469,0.5331393708081601,498.0,
baseline_model,gpt-5.4-nano,opponent_prev_unsafe,0.08741835861485617,1.0913531612219827,-0.654092004979995,0.8289287222097073,0.8172645753118772,498.0,
baseline_model,gpt-5.4-nano,progress_gap_before,-0.3786489132991759,0.6847859897211173,-0.7498627985866385,-0.007435028011713252,0.04558455287263117,498.0,
baseline_model,gpt-5.4-nano,first_round_unsafe,-0.353303584805633,0.7023639339893407,-0.7713967131601527,0.06478954354888672,0.09767335216296259,498.0,
