model,cell,condition,mapping_id,domain,correct,n,accuracy,domain_passed,strict_parse_rate,cell_passed
mistral-7b-instruct-v0.1,transition_terminal/safe_q,transition_terminal,safe_q,stage_payoff,4,4,1.0,True,1.0,False
mistral-7b-instruct-v0.1,transition_terminal/safe_q,transition_terminal,safe_q,state_update,0,4,0.0,False,1.0,False
mistral-7b-instruct-v0.1,transition_terminal/safe_q,transition_terminal,safe_q,terminal_scoring,0,4,0.0,False,1.0,False
mistral-7b-instruct-v0.1,length_placebo/safe_p,length_placebo,safe_p,rule_recall,4,4,1.0,True,1.0,False
mistral-7b-instruct-v0.1,length_placebo/safe_p,length_placebo,safe_p,stage_payoff,4,4,1.0,True,1.0,False
mistral-7b-instruct-v0.1,length_placebo/safe_p,length_placebo,safe_p,state_update,0,4,0.0,False,1.0,False
mistral-7b-instruct-v0.1,length_placebo/safe_p,length_placebo,safe_p,terminal_scoring,0,4,0.0,False,1.0,False
mistral-7b-instruct-v0.1,length_placebo/safe_q,length_placebo,safe_q,rule_recall,4,4,1.0,True,1.0,False
mistral-7b-instruct-v0.1,length_placebo/safe_q,length_placebo,safe_q,stage_payoff,4,4,1.0,True,1.0,False
mistral-7b-instruct-v0.1,length_placebo/safe_q,length_placebo,safe_q,state_update,0,4,0.0,False,1.0,False
mistral-7b-instruct-v0.1,length_placebo/safe_q,length_placebo,safe_q,terminal_scoring,0,4,0.0,False,1.0,False
qwen2.5-14b-instruct,none/safe_p,none,safe_p,rule_recall,4,4,1.0,True,1.0,False
qwen2.5-14b-instruct,none/safe_p,none,safe_p,stage_payoff,4,4,1.0,True,1.0,False
qwen2.5-14b-instruct,none/safe_p,none,safe_p,state_update,1,4,0.25,False,1.0,False
qwen2.5-14b-instruct,none/safe_p,none,safe_p,terminal_scoring,0,4,0.0,False,1.0,False
qwen2.5-14b-instruct,none/safe_q,none,safe_q,rule_recall,4,4,1.0,True,1.0,False
qwen2.5-14b-instruct,none/safe_q,none,safe_q,stage_payoff,4,4,1.0,True,1.0,False
qwen2.5-14b-instruct,none/safe_q,none,safe_q,state_update,1,4,0.25,False,1.0,False
qwen2.5-14b-instruct,none/safe_q,none,safe_q,terminal_scoring,0,4,0.0,False,1.0,False
qwen2.5-14b-instruct,transition/safe_p,transition,safe_p,rule_recall,4,4,1.0,True,1.0,False
qwen2.5-14b-instruct,transition/safe_p,transition,safe_p,stage_payoff,4,4,1.0,True,1.0,False
qwen2.5-14b-instruct,transition/safe_p,transition,safe_p,state_update,0,4,0.0,False,1.0,False
qwen2.5-14b-instruct,transition/safe_p,transition,safe_p,terminal_scoring,0,4,0.0,False,1.0,False
qwen2.5-14b-instruct,transition/safe_q,transition,safe_q,rule_recall,4,4,1.0,True,0.9375,False
qwen2.5-14b-instruct,transition/safe_q,transition,safe_q,stage_payoff,4,4,1.0,True,0.9375,False
qwen2.5-14b-instruct,transition/safe_q,transition,safe_q,state_update,0,4,0.0,False,0.9375,False
qwen2.5-14b-instruct,transition/safe_q,transition,safe_q,terminal_scoring,0,4,0.0,False,0.9375,False
qwen2.5-14b-instruct,terminal/safe_p,terminal,safe_p,rule_recall,4,4,1.0,True,1.0,False
qwen2.5-14b-instruct,terminal/safe_p,terminal,safe_p,stage_payoff,4,4,1.0,True,1.0,False
qwen2.5-14b-instruct,terminal/safe_p,terminal,safe_p,state_update,1,4,0.25,False,1.0,False
qwen2.5-14b-instruct,terminal/safe_p,terminal,safe_p,terminal_scoring,0,4,0.0,False,1.0,False
qwen2.5-14b-instruct,terminal/safe_q,terminal,safe_q,rule_recall,4,4,1.0,True,1.0,False
qwen2.5-14b-instruct,terminal/safe_q,terminal,safe_q,stage_payoff,4,4,1.0,True,1.0,False
qwen2.5-14b-instruct,terminal/safe_q,terminal,safe_q,state_update,0,4,0.0,False,1.0,False
qwen2.5-14b-instruct,terminal/safe_q,terminal,safe_q,terminal_scoring,0,4,0.0,False,1.0,False
qwen2.5-14b-instruct,transition_terminal/safe_p,transition_terminal,safe_p,rule_recall,4,4,1.0,True,1.0,False
qwen2.5-14b-instruct,transition_terminal/safe_p,transition_terminal,safe_p,stage_payoff,4,4,1.0,True,1.0,False
qwen2.5-14b-instruct,transition_terminal/safe_p,transition_terminal,safe_p,state_update,0,4,0.0,False,1.0,False
qwen2.5-14b-instruct,transition_terminal/safe_p,transition_terminal,safe_p,terminal_scoring,0,4,0.0,False,1.0,False
qwen2.5-14b-instruct,transition_terminal/safe_q,transition_terminal,safe_q,rule_recall,4,4,1.0,True,0.9375,False
qwen2.5-14b-instruct,transition_terminal/safe_q,transition_terminal,safe_q,stage_payoff,4,4,1.0,True,0.9375,False
qwen2.5-14b-instruct,transition_terminal/safe_q,transition_terminal,safe_q,state_update,0,4,0.0,False,0.9375,False
qwen2.5-14b-instruct,transition_terminal/safe_q,transition_terminal,safe_q,terminal_scoring,0,4,0.0,False,0.9375,False
qwen2.5-14b-instruct,length_placebo/safe_p,length_placebo,safe_p,rule_recall,4,4,1.0,True,1.0,False
qwen2.5-14b-instruct,length_placebo/safe_p,length_placebo,safe_p,stage_payoff,4,4,1.0,True,1.0,False
qwen2.5-14b-instruct,length_placebo/safe_p,length_placebo,safe_p,state_update,1,4,0.25,False,1.0,False
qwen2.5-14b-instruct,length_placebo/safe_p,length_placebo,safe_p,terminal_scoring,0,4,0.0,False,1.0,False
qwen2.5-14b-instruct,length_placebo/safe_q,length_placebo,safe_q,rule_recall,4,4,1.0,True,0.9375,False
qwen2.5-14b-instruct,length_placebo/safe_q,length_placebo,safe_q,stage_payoff,4,4,1.0,True,0.9375,False
qwen2.5-14b-instruct,length_placebo/safe_q,length_placebo,safe_q,state_update,1,4,0.25,False,0.9375,False
qwen2.5-14b-instruct,length_placebo/safe_q,length_placebo,safe_q,terminal_scoring,0,4,0.0,False,0.9375,False
qwen2.5-7b-instruct,none/safe_p,none,safe_p,rule_recall,4,4,1.0,True,0.5625,False
qwen2.5-7b-instruct,none/safe_p,none,safe_p,stage_payoff,4,4,1.0,True,0.5625,False
qwen2.5-7b-instruct,none/safe_p,none,safe_p,state_update,1,4,0.25,False,0.5625,False
qwen2.5-7b-instruct,none/safe_p,none,safe_p,terminal_scoring,0,4,0.0,False,0.5625,False
qwen2.5-7b-instruct,none/safe_q,none,safe_q,rule_recall,4,4,1.0,True,0.4375,False
qwen2.5-7b-instruct,none/safe_q,none,safe_q,stage_payoff,4,4,1.0,True,0.4375,False
qwen2.5-7b-instruct,none/safe_q,none,safe_q,state_update,0,4,0.0,False,0.4375,False
qwen2.5-7b-instruct,none/safe_q,none,safe_q,terminal_scoring,0,4,0.0,False,0.4375,False
qwen2.5-7b-instruct,transition/safe_p,transition,safe_p,rule_recall,4,4,1.0,True,0.4375,False
qwen2.5-7b-instruct,transition/safe_p,transition,safe_p,stage_payoff,4,4,1.0,True,0.4375,False
qwen2.5-7b-instruct,transition/safe_p,transition,safe_p,state_update,0,4,0.0,False,0.4375,False
qwen2.5-7b-instruct,transition/safe_p,transition,safe_p,terminal_scoring,0,4,0.0,False,0.4375,False
qwen2.5-7b-instruct,transition/safe_q,transition,safe_q,rule_recall,3,4,0.75,False,0.5625,False
qwen2.5-7b-instruct,transition/safe_q,transition,safe_q,stage_payoff,4,4,1.0,True,0.5625,False
qwen2.5-7b-instruct,transition/safe_q,transition,safe_q,state_update,0,4,0.0,False,0.5625,False
qwen2.5-7b-instruct,transition/safe_q,transition,safe_q,terminal_scoring,0,4,0.0,False,0.5625,False
qwen2.5-7b-instruct,terminal/safe_p,terminal,safe_p,rule_recall,4,4,1.0,True,0.5,False
qwen2.5-7b-instruct,terminal/safe_p,terminal,safe_p,stage_payoff,4,4,1.0,True,0.5,False
qwen2.5-7b-instruct,terminal/safe_p,terminal,safe_p,state_update,0,4,0.0,False,0.5,False
qwen2.5-7b-instruct,terminal/safe_p,terminal,safe_p,terminal_scoring,0,4,0.0,False,0.5,False
qwen2.5-7b-instruct,terminal/safe_q,terminal,safe_q,rule_recall,4,4,1.0,True,0.625,False
qwen2.5-7b-instruct,terminal/safe_q,terminal,safe_q,stage_payoff,4,4,1.0,True,0.625,False
qwen2.5-7b-instruct,terminal/safe_q,terminal,safe_q,state_update,0,4,0.0,False,0.625,False
qwen2.5-7b-instruct,terminal/safe_q,terminal,safe_q,terminal_scoring,0,4,0.0,False,0.625,False
qwen2.5-7b-instruct,transition_terminal/safe_p,transition_terminal,safe_p,rule_recall,4,4,1.0,True,0.5,False
qwen2.5-7b-instruct,transition_terminal/safe_p,transition_terminal,safe_p,stage_payoff,4,4,1.0,True,0.5,False
qwen2.5-7b-instruct,transition_terminal/safe_p,transition_terminal,safe_p,state_update,0,4,0.0,False,0.5,False
qwen2.5-7b-instruct,transition_terminal/safe_p,transition_terminal,safe_p,terminal_scoring,0,4,0.0,False,0.5,False
qwen2.5-7b-instruct,transition_terminal/safe_q,transition_terminal,safe_q,rule_recall,4,4,1.0,True,0.5625,False
qwen2.5-7b-instruct,transition_terminal/safe_q,transition_terminal,safe_q,stage_payoff,4,4,1.0,True,0.5625,False
qwen2.5-7b-instruct,transition_terminal/safe_q,transition_terminal,safe_q,state_update,0,4,0.0,False,0.5625,False
qwen2.5-7b-instruct,transition_terminal/safe_q,transition_terminal,safe_q,terminal_scoring,0,4,0.0,False,0.5625,False
qwen2.5-7b-instruct,length_placebo/safe_p,length_placebo,safe_p,rule_recall,4,4,1.0,True,0.25,False
qwen2.5-7b-instruct,length_placebo/safe_p,length_placebo,safe_p,stage_payoff,4,4,1.0,True,0.25,False
qwen2.5-7b-instruct,length_placebo/safe_p,length_placebo,safe_p,state_update,0,4,0.0,False,0.25,False
qwen2.5-7b-instruct,length_placebo/safe_p,length_placebo,safe_p,terminal_scoring,0,4,0.0,False,0.25,False
qwen2.5-7b-instruct,length_placebo/safe_q,length_placebo,safe_q,rule_recall,4,4,1.0,True,0.3125,False
qwen2.5-7b-instruct,length_placebo/safe_q,length_placebo,safe_q,stage_payoff,4,4,1.0,True,0.3125,False
qwen2.5-7b-instruct,length_placebo/safe_q,length_placebo,safe_q,state_update,0,4,0.0,False,0.3125,False
qwen2.5-7b-instruct,length_placebo/safe_q,length_placebo,safe_q,terminal_scoring,0,4,0.0,False,0.3125,False
