model,persona_condition,prompt_version,protocol_signature,run_phase,run_status,factor,level_left,level_right,n_comparisons_in_stratum,n_left,n_right,mean_left,mean_right,t,df,p_value,cohens_d,p_value_bonferroni
gpt-5-nano,R+,ai-race-fairgame-v3,b33fdc8b55d4dbe70a50d073c1df939b6026ae9807dbbdaf60d10362342736db,pilot,completed,max_private_risk,0.1,0.6,3,20,20,0.4244121156621157,0.39027215839715834,0.48052216967119876,36.767765086674885,0.633703024908252,0.15195445223668713,1.0
gpt-5-nano,R+,ai-race-fairgame-v3,b33fdc8b55d4dbe70a50d073c1df939b6026ae9807dbbdaf60d10362342736db,pilot,completed,max_private_risk,0.1,0.9,3,20,20,0.4244121156621157,0.42731220168720163,-0.03687439066587203,34.200127302817535,0.9707995581230884,-0.011660706183500853,1.0
gpt-5-nano,R+,ai-race-fairgame-v3,b33fdc8b55d4dbe70a50d073c1df939b6026ae9807dbbdaf60d10362342736db,pilot,completed,max_private_risk,0.6,0.9,3,20,20,0.39027215839715834,0.42731220168720163,-0.43928921277039706,37.05120755681099,0.6630034516452993,-0.13891544638967807,1.0
gpt-5-nano,R-,ai-race-fairgame-v3,5f15793a13f7e4526ab316ee4339dc47dfd90790ea75542cee4ff3992a4f3cab,pilot,completed,max_private_risk,0.1,0.6,3,20,20,0.04159090909090909,0.07557165057165056,-1.5372014573725576,37.999496326911654,0.13252996621112406,-0.48610578278275135,0.3975898986333722
gpt-5-nano,R-,ai-race-fairgame-v3,5f15793a13f7e4526ab316ee4339dc47dfd90790ea75542cee4ff3992a4f3cab,pilot,completed,max_private_risk,0.1,0.9,3,20,20,0.04159090909090909,0.038995726495726496,0.12414884763819103,37.43946319377445,0.9018615835749348,0.03925931274218993,1.0
gpt-5-nano,R-,ai-race-fairgame-v3,5f15793a13f7e4526ab316ee4339dc47dfd90790ea75542cee4ff3992a4f3cab,pilot,completed,max_private_risk,0.6,0.9,3,20,20,0.07557165057165056,0.038995726495726496,1.753298932871299,37.47140257975245,0.08772874686412066,0.5544418047015968,0.26318624059236195
gpt-5-nano,R0,ai-race-fairgame-v3,ce2572ed7d6c65c40f8bcee90f0e86899a1ed8b6732f58a717bf0774e3814209,pilot,completed,max_private_risk,0.1,0.6,3,20,20,0.0,0.0,,,,,
gpt-5-nano,R0,ai-race-fairgame-v3,ce2572ed7d6c65c40f8bcee90f0e86899a1ed8b6732f58a717bf0774e3814209,pilot,completed,max_private_risk,0.1,0.9,3,20,20,0.0,0.043611111111111114,-2.6146891956410383,19.0,0.017042130916069157,-0.8268373231659285,0.051126392748207475
gpt-5-nano,R0,ai-race-fairgame-v3,ce2572ed7d6c65c40f8bcee90f0e86899a1ed8b6732f58a717bf0774e3814209,pilot,completed,max_private_risk,0.6,0.9,3,20,20,0.0,0.043611111111111114,-2.6146891956410383,19.0,0.017042130916069157,-0.8268373231659285,0.051126392748207475
gpt-5-nano,R1-R1,ai-race-fairgame-v3,28932989a4ce8dbaef4df00f5fbb34fc8506f9799753e1880dcce9f2d8ff02ee,pilot,completed,max_private_risk,0.1,0.6,3,20,20,0.02,0.0,1.0,19.0,0.3298768009211252,0.3162277660168379,0.9896304027633755
gpt-5-nano,R1-R1,ai-race-fairgame-v3,28932989a4ce8dbaef4df00f5fbb34fc8506f9799753e1880dcce9f2d8ff02ee,pilot,completed,max_private_risk,0.1,0.9,3,20,20,0.02,0.01111111111111111,0.3885143449429057,29.70832173671027,0.7004058723977674,0.12285902336679026,1.0
gpt-5-nano,R1-R1,ai-race-fairgame-v3,28932989a4ce8dbaef4df00f5fbb34fc8506f9799753e1880dcce9f2d8ff02ee,pilot,completed,max_private_risk,0.6,0.9,3,20,20,0.0,0.01111111111111111,-1.0,19.0,0.3298768009211252,-0.31622776601683794,0.9896304027633755
gpt-5-nano,R1-R2,ai-race-fairgame-v3,cd7731c0357528df12e9c019e5c38926db31562198e17cbbdb7f58aab6936176,pilot,completed,max_private_risk,0.1,0.6,3,20,20,0.0,0.0,,,,,
gpt-5-nano,R1-R2,ai-race-fairgame-v3,cd7731c0357528df12e9c019e5c38926db31562198e17cbbdb7f58aab6936176,pilot,completed,max_private_risk,0.1,0.9,3,20,20,0.0,0.013392857142857142,-1.4493919762221332,19.0,0.1635338224361889,-0.45833798672345505,0.49060146730856674
gpt-5-nano,R1-R2,ai-race-fairgame-v3,cd7731c0357528df12e9c019e5c38926db31562198e17cbbdb7f58aab6936176,pilot,completed,max_private_risk,0.6,0.9,3,20,20,0.0,0.013392857142857142,-1.4493919762221332,19.0,0.1635338224361889,-0.45833798672345505,0.49060146730856674
gpt-5-nano,R1-R3,ai-race-fairgame-v3,d5a78c68f5cac31ca4db628960ab46c654c0023a9537b0f7b31377a8f061266e,pilot,completed,max_private_risk,0.1,0.6,3,20,20,0.02305555555555556,0.06760912698412698,-1.5357117888314975,29.521121232810984,0.13525860446999685,-0.48563470822790644,0.4057758134099906
gpt-5-nano,R1-R3,ai-race-fairgame-v3,d5a78c68f5cac31ca4db628960ab46c654c0023a9537b0f7b31377a8f061266e,pilot,completed,max_private_risk,0.1,0.9,3,20,20,0.02305555555555556,0.0685290404040404,-1.3420972235558764,26.475635182497683,0.19096134452815317,-0.42440840678247543,0.5728840335844595
gpt-5-nano,R1-R3,ai-race-fairgame-v3,d5a78c68f5cac31ca4db628960ab46c654c0023a9537b0f7b31377a8f061266e,pilot,completed,max_private_risk,0.6,0.9,3,20,20,0.06760912698412698,0.0685290404040404,-0.0230043627950693,36.65478476010106,0.9817715714678985,-0.007274618255325626,1.0
